"game_id","home_team","away_team","abs_spread","div_game","reg_playoff","penalty_count"
"2018_01_ATL_PHI","PHI","ATL",1,0,"REG",26
"2018_01_BUF_BAL","BAL","BUF",7.5,0,"REG",19
"2018_01_CHI_GB","GB","CHI",6.5,1,"REG",13
"2018_01_CIN_IND","IND","CIN",1,0,"REG",15
"2018_01_DAL_CAR","CAR","DAL",2.5,0,"REG",19
"2018_01_HOU_NE","NE","HOU",6,0,"REG",12
"2018_01_JAX_NYG","NYG","JAX",2.5,0,"REG",17
"2018_01_KC_LAC","LAC","KC",3.5,1,"REG",13
"2018_01_LA_OAK","LV","LA",6,0,"REG",19
"2018_01_NYJ_DET","DET","NYJ",7,0,"REG",10
"2018_01_PIT_CLE","CLE","PIT",3.5,1,"REG",23
"2018_01_SEA_DEN","DEN","SEA",3,0,"REG",14
"2018_01_SF_MIN","MIN","SF",6,0,"REG",10
"2018_01_TB_NO","NO","TB",10,1,"REG",15
"2018_01_TEN_MIA","MIA","TEN",1,0,"REG",12
"2018_01_WAS_ARI","ARI","WAS",2,0,"REG",18
"2018_02_ARI_LA","LA","ARI",13.5,1,"REG",14
"2018_02_BAL_CIN","CIN","BAL",1,1,"REG",16
"2018_02_CAR_ATL","ATL","CAR",5.5,1,"REG",9
"2018_02_CLE_NO","NO","CLE",10,0,"REG",8
"2018_02_DET_SF","SF","DET",6,0,"REG",19
"2018_02_HOU_TEN","TEN","HOU",3.5,1,"REG",19
"2018_02_IND_WAS","WAS","IND",6,0,"REG",13
"2018_02_KC_PIT","PIT","KC",4.5,0,"REG",24
"2018_02_LAC_BUF","BUF","LAC",7.5,0,"REG",12
"2018_02_MIA_NYJ","NYJ","MIA",3,1,"REG",9
"2018_02_MIN_GB","GB","MIN",2,1,"REG",15
"2018_02_NE_JAX","JAX","NE",2,0,"REG",9
"2018_02_NYG_DAL","DAL","NYG",3,1,"REG",9
"2018_02_OAK_DEN","DEN","LV",5.5,1,"REG",10
"2018_02_PHI_TB","TB","PHI",3,0,"REG",10
"2018_02_SEA_CHI","CHI","SEA",5,0,"REG",12
"2018_03_BUF_MIN","MIN","BUF",16.5,0,"REG",18
"2018_03_CHI_ARI","ARI","CHI",6,0,"REG",13
"2018_03_CIN_CAR","CAR","CIN",2.5,0,"REG",7
"2018_03_DAL_SEA","SEA","DAL",1,0,"REG",17
"2018_03_DEN_BAL","BAL","DEN",5.5,0,"REG",20
"2018_03_GB_WAS","WAS","GB",2.5,0,"REG",17
"2018_03_IND_PHI","PHI","IND",6.5,0,"REG",21
"2018_03_LAC_LA","LA","LAC",7.5,0,"REG",10
"2018_03_NE_DET","DET","NE",7,0,"REG",11
"2018_03_NO_ATL","ATL","NO",1.5,1,"REG",16
"2018_03_NYG_HOU","HOU","NYG",6.5,0,"REG",10
"2018_03_NYJ_CLE","CLE","NYJ",3,0,"REG",11
"2018_03_OAK_MIA","MIA","LV",3,0,"REG",17
"2018_03_PIT_TB","TB","PIT",1,0,"REG",21
"2018_03_SF_KC","KC","SF",6,0,"REG",20
"2018_03_TEN_JAX","JAX","TEN",10,1,"REG",12
"2018_04_BAL_PIT","PIT","BAL",3,1,"REG",12
"2018_04_BUF_GB","GB","BUF",8.5,0,"REG",8
"2018_04_CIN_ATL","ATL","CIN",3.5,0,"REG",16
"2018_04_CLE_OAK","LV","CLE",2.5,0,"REG",14
"2018_04_DET_DAL","DAL","DET",2.5,0,"REG",10
"2018_04_HOU_IND","IND","HOU",1,1,"REG",20
"2018_04_KC_DEN","DEN","KC",3.5,1,"REG",13
"2018_04_MIA_NE","NE","MIA",6.5,1,"REG",16
"2018_04_MIN_LA","LA","MIN",7.5,0,"REG",6
"2018_04_NO_NYG","NYG","NO",3.5,0,"REG",11
"2018_04_NYJ_JAX","JAX","NYJ",7.5,0,"REG",15
"2018_04_PHI_TEN","TEN","PHI",3,0,"REG",12
"2018_04_SEA_ARI","ARI","SEA",3.5,1,"REG",13
"2018_04_SF_LAC","LAC","SF",10,0,"REG",9
"2018_04_TB_CHI","CHI","TB",3,0,"REG",15
"2018_05_ARI_SF","SF","ARI",3,1,"REG",14
"2018_05_ATL_PIT","PIT","ATL",3.5,0,"REG",14
"2018_05_BAL_CLE","CLE","BAL",3,1,"REG",14
"2018_05_DAL_HOU","HOU","DAL",3.5,0,"REG",12
"2018_05_DEN_NYJ","NYJ","DEN",1,0,"REG",10
"2018_05_GB_DET","DET","GB",1,1,"REG",20
"2018_05_IND_NE","NE","IND",10.5,0,"REG",11
"2018_05_JAX_KC","KC","JAX",3,0,"REG",16
"2018_05_LA_SEA","SEA","LA",7.5,1,"REG",14
"2018_05_MIA_CIN","CIN","MIA",6,0,"REG",15
"2018_05_MIN_PHI","PHI","MIN",3.5,0,"REG",12
"2018_05_NYG_CAR","CAR","NYG",7,0,"REG",11
"2018_05_OAK_LAC","LAC","LV",5.5,1,"REG",16
"2018_05_TEN_BUF","BUF","TEN",6,0,"REG",9
"2018_05_WAS_NO","NO","WAS",5.5,0,"REG",10
"2018_06_ARI_MIN","MIN","ARI",10,0,"REG",14
"2018_06_BAL_TEN","TEN","BAL",2.5,0,"REG",14
"2018_06_BUF_HOU","HOU","BUF",10.5,0,"REG",18
"2018_06_CAR_WAS","WAS","CAR",1,0,"REG",13
"2018_06_CHI_MIA","MIA","CHI",7.5,0,"REG",13
"2018_06_IND_NYJ","NYJ","IND",2.5,0,"REG",15
"2018_06_JAX_DAL","DAL","JAX",3,0,"REG",7
"2018_06_KC_NE","NE","KC",4,0,"REG",5
"2018_06_LA_DEN","DEN","LA",7,0,"REG",16
"2018_06_LAC_CLE","CLE","LAC",1,0,"REG",16
"2018_06_PHI_NYG","NYG","PHI",1.5,1,"REG",9
"2018_06_PIT_CIN","CIN","PIT",1,1,"REG",15
"2018_06_SEA_OAK","LV","SEA",3,0,"REG",13
"2018_06_SF_GB","GB","SF",9,0,"REG",8
"2018_06_TB_ATL","ATL","TB",3,1,"REG",9
"2018_07_BUF_IND","IND","BUF",7,0,"REG",10
"2018_07_CAR_PHI","PHI","CAR",5,0,"REG",9
"2018_07_CIN_KC","KC","CIN",6.5,0,"REG",16
"2018_07_CLE_TB","TB","CLE",3.5,0,"REG",22
"2018_07_DAL_WAS","WAS","DAL",1.5,1,"REG",13
"2018_07_DEN_ARI","ARI","DEN",1,0,"REG",12
"2018_07_DET_MIA","MIA","DET",3,0,"REG",10
"2018_07_HOU_JAX","JAX","HOU",4,1,"REG",8
"2018_07_LA_SF","SF","LA",8,1,"REG",3
"2018_07_MIN_NYJ","NYJ","MIN",3.5,0,"REG",14
"2018_07_NE_CHI","CHI","NE",1,0,"REG",12
"2018_07_NO_BAL","BAL","NO",2.5,0,"REG",11
"2018_07_NYG_ATL","ATL","NYG",4.5,0,"REG",9
"2018_07_TEN_LAC","LAC","TEN",6.5,0,"REG",8
"2018_08_BAL_CAR","CAR","BAL",2.5,0,"REG",13
"2018_08_CLE_PIT","PIT","CLE",8.5,1,"REG",15
"2018_08_DEN_KC","KC","DEN",8.5,1,"REG",17
"2018_08_GB_LA","LA","GB",7.5,0,"REG",4
"2018_08_IND_OAK","LV","IND",3.5,0,"REG",20
"2018_08_MIA_HOU","HOU","MIA",7.5,0,"REG",13
"2018_08_NE_BUF","BUF","NE",13.5,1,"REG",11
"2018_08_NO_MIN","MIN","NO",2.5,0,"REG",13
"2018_08_NYJ_CHI","CHI","NYJ",8.5,0,"REG",10
"2018_08_PHI_JAX","JAX","PHI",4,0,"REG",9
"2018_08_SEA_DET","DET","SEA",3,0,"REG",11
"2018_08_SF_ARI","ARI","SF",2.5,1,"REG",14
"2018_08_TB_CIN","CIN","TB",3.5,0,"REG",15
"2018_08_WAS_NYG","NYG","WAS",1,1,"REG",19
"2018_09_ATL_WAS","WAS","ATL",1.5,0,"REG",17
"2018_09_CHI_BUF","BUF","CHI",10.5,0,"REG",24
"2018_09_DET_MIN","MIN","DET",4.5,1,"REG",11
"2018_09_GB_NE","NE","GB",5,0,"REG",12
"2018_09_HOU_DEN","DEN","HOU",1,0,"REG",15
"2018_09_KC_CLE","CLE","KC",7.5,0,"REG",15
"2018_09_LA_NO","NO","LA",2.5,0,"REG",6
"2018_09_LAC_SEA","SEA","LAC",1,0,"REG",22
"2018_09_NYJ_MIA","MIA","NYJ",3,1,"REG",10
"2018_09_OAK_SF","SF","LV",1.5,0,"REG",9
"2018_09_PIT_BAL","BAL","PIT",1.5,1,"REG",13
"2018_09_TB_CAR","CAR","TB",6,1,"REG",17
"2018_09_TEN_DAL","DAL","TEN",4.5,0,"REG",9
"2018_10_ARI_KC","KC","ARI",16.5,0,"REG",11
"2018_10_ATL_CLE","CLE","ATL",5.5,0,"REG",8
"2018_10_BUF_NYJ","NYJ","BUF",6.5,1,"REG",5
"2018_10_CAR_PIT","PIT","CAR",3.5,0,"REG",6
"2018_10_DAL_PHI","PHI","DAL",7.5,1,"REG",5
"2018_10_DET_CHI","CHI","DET",7.5,1,"REG",12
"2018_10_JAX_IND","IND","JAX",3,1,"REG",15
"2018_10_LAC_OAK","LV","LAC",10.5,1,"REG",12
"2018_10_MIA_GB","GB","MIA",13,0,"REG",9
"2018_10_NE_TEN","TEN","NE",6,0,"REG",8
"2018_10_NO_CIN","CIN","NO",5.5,0,"REG",5
"2018_10_NYG_SF","SF","NYG",3,0,"REG",18
"2018_10_SEA_LA","LA","SEA",10,1,"REG",17
"2018_10_WAS_TB","TB","WAS",3.5,0,"REG",13
"2018_11_CAR_DET","DET","CAR",4,0,"REG",3
"2018_11_CIN_BAL","BAL","CIN",6.5,1,"REG",12
"2018_11_DAL_ATL","ATL","DAL",3.5,0,"REG",4
"2018_11_DEN_LAC","LAC","DEN",7.5,1,"REG",21
"2018_11_GB_SEA","SEA","GB",3,0,"REG",11
"2018_11_HOU_WAS","WAS","HOU",3,0,"REG",13
"2018_11_KC_LA","LA","KC",3,0,"REG",21
"2018_11_MIN_CHI","CHI","MIN",2.5,1,"REG",9
"2018_11_OAK_ARI","ARI","LV",4.5,0,"REG",11
"2018_11_PHI_NO","NO","PHI",7,0,"REG",14
"2018_11_PIT_JAX","JAX","PIT",4,0,"REG",14
"2018_11_TB_NYG","NYG","TB",3,0,"REG",12
"2018_11_TEN_IND","IND","TEN",2,1,"REG",15
"2018_12_ARI_LAC","LAC","ARI",14,0,"REG",7
"2018_12_ATL_NO","NO","ATL",11.5,1,"REG",5
"2018_12_CHI_DET","DET","CHI",3,1,"REG",8
"2018_12_CLE_CIN","CIN","CLE",1,1,"REG",20
"2018_12_GB_MIN","MIN","GB",4,1,"REG",10
"2018_12_JAX_BUF","BUF","JAX",3,0,"REG",23
"2018_12_MIA_IND","IND","MIA",9,0,"REG",17
"2018_12_NE_NYJ","NYJ","NE",13,1,"REG",19
"2018_12_NYG_PHI","PHI","NYG",4.5,1,"REG",18
"2018_12_OAK_BAL","BAL","LV",13,0,"REG",10
"2018_12_PIT_DEN","DEN","PIT",3,0,"REG",11
"2018_12_SEA_CAR","CAR","SEA",3,0,"REG",7
"2018_12_SF_TB","TB","SF",1.5,0,"REG",17
"2018_12_TEN_HOU","HOU","TEN",3.5,1,"REG",10
"2018_12_WAS_DAL","DAL","WAS",7,1,"REG",8
"2018_13_ARI_GB","GB","ARI",13.5,0,"REG",14
"2018_13_BAL_ATL","ATL","BAL",2.5,0,"REG",17
"2018_13_BUF_MIA","MIA","BUF",3.5,1,"REG",21
"2018_13_CAR_TB","TB","CAR",3.5,1,"REG",16
"2018_13_CHI_NYG","NYG","CHI",3.5,0,"REG",20
"2018_13_CLE_HOU","HOU","CLE",5,0,"REG",11
"2018_13_DEN_CIN","CIN","DEN",3.5,0,"REG",19
"2018_13_IND_JAX","JAX","IND",4,1,"REG",14
"2018_13_KC_OAK","LV","KC",14,1,"REG",19
"2018_13_LA_DET","DET","LA",10.5,0,"REG",15
"2018_13_LAC_PIT","PIT","LAC",3.5,0,"REG",12
"2018_13_MIN_NE","NE","MIN",6,0,"REG",12
"2018_13_NO_DAL","DAL","NO",7,0,"REG",13
"2018_13_NYJ_TEN","TEN","NYJ",10.5,0,"REG",19
"2018_13_SF_SEA","SEA","SF",10,1,"REG",22
"2018_13_WAS_PHI","PHI","WAS",5.5,1,"REG",15
"2018_14_ATL_GB","GB","ATL",4,0,"REG",19
"2018_14_BAL_KC","KC","BAL",6.5,0,"REG",18
"2018_14_CAR_CLE","CLE","CAR",1,0,"REG",17
"2018_14_CIN_LAC","LAC","CIN",17,0,"REG",12
"2018_14_DEN_SF","SF","DEN",3,0,"REG",22
"2018_14_DET_ARI","ARI","DET",2.5,0,"REG",15
"2018_14_IND_HOU","HOU","IND",4,1,"REG",16
"2018_14_JAX_TEN","TEN","JAX",5.5,1,"REG",10
"2018_14_LA_CHI","CHI","LA",3,0,"REG",15
"2018_14_MIN_SEA","SEA","MIN",3,0,"REG",8
"2018_14_NE_MIA","MIA","NE",8.5,1,"REG",12
"2018_14_NO_TB","TB","NO",8.5,1,"REG",16
"2018_14_NYG_WAS","WAS","NYG",3,1,"REG",17
"2018_14_NYJ_BUF","BUF","NYJ",4.5,1,"REG",14
"2018_14_PHI_DAL","DAL","PHI",3.5,1,"REG",16
"2018_14_PIT_OAK","LV","PIT",10.5,0,"REG",15
"2018_15_ARI_ATL","ATL","ARI",10,0,"REG",14
"2018_15_CLE_DEN","DEN","CLE",1,0,"REG",14
"2018_15_DAL_IND","IND","DAL",3,0,"REG",15
"2018_15_DET_BUF","BUF","DET",2.5,0,"REG",7
"2018_15_GB_CHI","CHI","GB",6,1,"REG",11
"2018_15_HOU_NYJ","NYJ","HOU",7,0,"REG",14
"2018_15_LAC_KC","KC","LAC",3.5,1,"REG",17
"2018_15_MIA_MIN","MIN","MIA",7.5,0,"REG",14
"2018_15_NE_PIT","PIT","NE",2.5,0,"REG",18
"2018_15_NO_CAR","CAR","NO",6,1,"REG",13
"2018_15_OAK_CIN","CIN","LV",3,0,"REG",17
"2018_15_PHI_LA","LA","PHI",13.5,0,"REG",11
"2018_15_SEA_SF","SF","SEA",3.5,1,"REG",22
"2018_15_TB_BAL","BAL","TB",8.5,0,"REG",14
"2018_15_TEN_NYG","NYG","TEN",2.5,0,"REG",14
"2018_15_WAS_JAX","JAX","WAS",7.5,0,"REG",14
"2018_16_ATL_CAR","CAR","ATL",2.5,1,"REG",14
"2018_16_BAL_LAC","LAC","BAL",4,0,"REG",12
"2018_16_BUF_NE","NE","BUF",14,1,"REG",8
"2018_16_CHI_SF","SF","CHI",3.5,0,"REG",10
"2018_16_CIN_CLE","CLE","CIN",10,1,"REG",9
"2018_16_DEN_OAK","LV","DEN",2.5,1,"REG",17
"2018_16_GB_NYJ","NYJ","GB",3,0,"REG",26
"2018_16_HOU_PHI","PHI","HOU",1,0,"REG",21
"2018_16_JAX_MIA","MIA","JAX",3,0,"REG",20
"2018_16_KC_SEA","SEA","KC",1,0,"REG",11
"2018_16_LA_ARI","ARI","LA",14.5,1,"REG",13
"2018_16_MIN_DET","DET","MIN",6.5,1,"REG",18
"2018_16_NYG_IND","IND","NYG",10,0,"REG",12
"2018_16_PIT_NO","NO","PIT",6.5,0,"REG",15
"2018_16_TB_DAL","DAL","TB",7,0,"REG",19
"2018_16_WAS_TEN","TEN","WAS",12.5,0,"REG",10
"2018_17_ARI_SEA","SEA","ARI",15.5,1,"REG",4
"2018_17_ATL_TB","TB","ATL",2.5,1,"REG",12
"2018_17_CAR_NO","NO","CAR",8,1,"REG",8
"2018_17_CHI_MIN","MIN","CHI",6,1,"REG",14
"2018_17_CIN_PIT","PIT","CIN",14,1,"REG",18
"2018_17_CLE_BAL","BAL","CLE",7,1,"REG",14
"2018_17_DAL_NYG","NYG","DAL",7.5,1,"REG",17
"2018_17_DET_GB","GB","DET",7.5,1,"REG",8
"2018_17_IND_TEN","TEN","IND",5,1,"REG",21
"2018_17_JAX_HOU","HOU","JAX",7,1,"REG",10
"2018_17_LAC_DEN","DEN","LAC",7,1,"REG",17
"2018_17_MIA_BUF","BUF","MIA",5.5,1,"REG",7
"2018_17_NYJ_NE","NE","NYJ",14,1,"REG",8
"2018_17_OAK_KC","KC","LV",14.5,1,"REG",8
"2018_17_PHI_WAS","WAS","PHI",6,1,"REG",7
"2018_17_SF_LA","LA","SF",10.5,1,"REG",11
"2018_18_IND_HOU","HOU","IND",2,1,"POST",10
"2018_18_LAC_BAL","BAL","LAC",3,0,"POST",12
"2018_18_PHI_CHI","CHI","PHI",6.5,0,"POST",6
"2018_18_SEA_DAL","DAL","SEA",2.5,0,"POST",11
"2018_19_DAL_LA","LA","DAL",7.5,0,"POST",8
"2018_19_IND_KC","KC","IND",4,0,"POST",16
"2018_19_LAC_NE","NE","LAC",4,0,"POST",14
"2018_19_PHI_NO","NO","PHI",8.5,0,"POST",15
"2018_20_LA_NO","NO","LA",3,0,"POST",10
"2018_20_NE_KC","KC","NE",3,0,"POST",10
"2018_21_NE_LA","LA","NE",2,0,"POST",12
"2019_01_ATL_MIN","MIN","ATL",3.5,0,"REG",20
"2019_01_BAL_MIA","MIA","BAL",7,0,"REG",13
"2019_01_BUF_NYJ","NYJ","BUF",2.5,1,"REG",15
"2019_01_CIN_SEA","SEA","CIN",9.5,0,"REG",15
"2019_01_DEN_OAK","LV","DEN",3,1,"REG",15
"2019_01_DET_ARI","ARI","DET",2.5,0,"REG",16
"2019_01_GB_CHI","CHI","GB",3.5,1,"REG",20
"2019_01_HOU_NO","NO","HOU",6.5,0,"REG",15
"2019_01_IND_LAC","LAC","IND",6,0,"REG",6
"2019_01_KC_JAX","JAX","KC",3.5,0,"REG",15
"2019_01_LA_CAR","CAR","LA",1.5,0,"REG",11
"2019_01_NYG_DAL","DAL","NYG",7,1,"REG",14
"2019_01_PIT_NE","NE","PIT",5.5,0,"REG",13
"2019_01_SF_TB","TB","SF",1,0,"REG",19
"2019_01_TEN_CLE","CLE","TEN",5.5,0,"REG",24
"2019_01_WAS_PHI","PHI","WAS",10.5,1,"REG",18
"2019_02_ARI_BAL","BAL","ARI",13,0,"REG",18
"2019_02_BUF_NYG","NYG","BUF",1,0,"REG",16
"2019_02_CHI_DEN","DEN","CHI",3,0,"REG",17
"2019_02_CLE_NYJ","NYJ","CLE",6.5,0,"REG",21
"2019_02_DAL_WAS","WAS","DAL",6,1,"REG",14
"2019_02_IND_TEN","TEN","IND",3,1,"REG",13
"2019_02_JAX_HOU","HOU","JAX",7.5,1,"REG",16
"2019_02_KC_OAK","LV","KC",7,1,"REG",17
"2019_02_LAC_DET","DET","LAC",1,0,"REG",17
"2019_02_MIN_GB","GB","MIN",3,1,"REG",14
"2019_02_NE_MIA","MIA","NE",18,1,"REG",9
"2019_02_NO_LA","LA","NO",2,0,"REG",19
"2019_02_PHI_ATL","ATL","PHI",1,0,"REG",17
"2019_02_SEA_PIT","PIT","SEA",4,0,"REG",15
"2019_02_SF_CIN","CIN","SF",1,0,"REG",16
"2019_02_TB_CAR","CAR","TB",6.5,1,"REG",17
"2019_03_ATL_IND","IND","ATL",1,0,"REG",20
"2019_03_BAL_KC","KC","BAL",4.5,0,"REG",11
"2019_03_CAR_ARI","ARI","CAR",2.5,0,"REG",10
"2019_03_CHI_WAS","WAS","CHI",5,0,"REG",18
"2019_03_CIN_BUF","BUF","CIN",5.5,0,"REG",15
"2019_03_DEN_GB","GB","DEN",7,0,"REG",10
"2019_03_DET_PHI","PHI","DET",4,0,"REG",13
"2019_03_HOU_LAC","LAC","HOU",3,0,"REG",13
"2019_03_LA_CLE","CLE","LA",4,0,"REG",15
"2019_03_MIA_DAL","DAL","MIA",22,0,"REG",13
"2019_03_NO_SEA","SEA","NO",5,0,"REG",18
"2019_03_NYG_TB","TB","NYG",5,0,"REG",10
"2019_03_NYJ_NE","NE","NYJ",20.5,1,"REG",13
"2019_03_OAK_MIN","MIN","LV",8.5,0,"REG",13
"2019_03_PIT_SF","SF","PIT",6,0,"REG",11
"2019_03_TEN_JAX","JAX","TEN",1.5,1,"REG",13
"2019_04_CAR_HOU","HOU","CAR",5.5,0,"REG",13
"2019_04_CIN_PIT","PIT","CIN",3.5,1,"REG",12
"2019_04_CLE_BAL","BAL","CLE",7.5,1,"REG",9
"2019_04_DAL_NO","NO","DAL",2.5,0,"REG",15
"2019_04_JAX_DEN","DEN","JAX",2.5,0,"REG",17
"2019_04_KC_DET","DET","KC",7.5,0,"REG",15
"2019_04_LAC_MIA","MIA","LAC",15,0,"REG",15
"2019_04_MIN_CHI","CHI","MIN",1,1,"REG",14
"2019_04_NE_BUF","BUF","NE",7,1,"REG",16
"2019_04_OAK_IND","IND","LV",5.5,0,"REG",16
"2019_04_PHI_GB","GB","PHI",3.5,0,"REG",14
"2019_04_SEA_ARI","ARI","SEA",5.5,1,"REG",14
"2019_04_TB_LA","LA","TB",9,0,"REG",25
"2019_04_TEN_ATL","ATL","TEN",3.5,0,"REG",12
"2019_04_WAS_NYG","NYG","WAS",3,1,"REG",17
"2019_05_ARI_CIN","CIN","ARI",3,0,"REG",19
"2019_05_ATL_HOU","HOU","ATL",4,0,"REG",16
"2019_05_BAL_PIT","PIT","BAL",3.5,1,"REG",22
"2019_05_BUF_TEN","TEN","BUF",3.5,0,"REG",19
"2019_05_CHI_OAK","LV","CHI",6.5,0,"REG",16
"2019_05_CLE_SF","SF","CLE",5,0,"REG",11
"2019_05_DEN_LAC","LAC","DEN",4,1,"REG",16
"2019_05_GB_DAL","DAL","GB",3.5,0,"REG",19
"2019_05_IND_KC","KC","IND",10.5,0,"REG",18
"2019_05_JAX_CAR","CAR","JAX",3,0,"REG",17
"2019_05_LA_SEA","SEA","LA",1.5,1,"REG",11
"2019_05_MIN_NYG","NYG","MIN",5.5,0,"REG",17
"2019_05_NE_WAS","WAS","NE",15.5,0,"REG",13
"2019_05_NYJ_PHI","PHI","NYJ",14,0,"REG",18
"2019_05_TB_NO","NO","TB",3,1,"REG",10
"2019_06_ATL_ARI","ARI","ATL",3,0,"REG",16
"2019_06_CAR_TB","TB","CAR",2,1,"REG",12
"2019_06_CIN_BAL","BAL","CIN",10.5,1,"REG",14
"2019_06_DAL_NYJ","NYJ","DAL",7,0,"REG",17
"2019_06_DET_GB","GB","DET",3.5,1,"REG",14
"2019_06_HOU_KC","KC","HOU",3.5,0,"REG",21
"2019_06_NO_JAX","JAX","NO",2.5,0,"REG",5
"2019_06_NYG_NE","NE","NYG",16.5,0,"REG",8
"2019_06_PHI_MIN","MIN","PHI",3.5,0,"REG",11
"2019_06_PIT_LAC","LAC","PIT",6,0,"REG",14
"2019_06_SEA_CLE","CLE","SEA",1,0,"REG",19
"2019_06_SF_LA","LA","SF",3,1,"REG",12
"2019_06_TEN_DEN","DEN","TEN",1,0,"REG",14
"2019_06_WAS_MIA","MIA","WAS",6,0,"REG",11
"2019_07_ARI_NYG","NYG","ARI",3.5,0,"REG",16
